ontology	issue_number	pr_number	case_type	difficulty	agent_config_tag	model	runtime	eval_repo_pr	f1	precision	recall	jaccard	case	agent
mondo	9703	9770	reclassification	hard	v3	claude-sonnet-4.5	claude	604	0.243	0.286	0.212	0.139	mon#9703	std_claude_son45
mondo	9864	10105	new_term	medium	v3	claude-haiku-4.5	claude	603	0.545	0.545	0.545	0.375	mon#9864	std_claude_hai45
mondo	9937	10112	new_term	medium	v3	claude-haiku-4.5	claude	602	0.609	0.583	0.636	0.438	mon#9937	std_claude_hai45
mondo	9855	10115	new_term	medium	v3	claude-haiku-4.5	claude	601	0.244	0.179	0.385	0.139	mon#9855	std_claude_hai45
mondo	9892	10206	synonym_update	simple	v3	claude-haiku-4.5	claude	599	0.72	0.6	0.9	0.562	mon#9892	std_claude_hai45
mondo	9877	10123	new_term	medium	v3	claude-haiku-4.5	claude	598	0.455	0.556	0.385	0.294	mon#9877	std_claude_hai45
mondo	10030	10117	bulk_edit	hard	v3	gemma-4-31b	opencode	596	0.003	0.002	1.0	0.002	mon#10030	std_opencode_gem4
mondo	9826	10142	obsoletion	simple	v3	kimi-k2.6	opencode	591	0.872	0.773	1.0	0.773	mon#9826	std_opencode_kimi
mondo	9703	9770	reclassification	hard	v3	gpt-5.4	codex	576	0.923	0.857	1.0	0.857	mon#9703	std_codex_g54
mondo	9854	10116	other	medium	v3	gpt-5.4	codex	575	0.667	0.611	0.733	0.5	mon#9854	std_codex_g54
mondo	9875	10202	other	simple	v3	gpt-5.4	codex	574	1.0	1.0	1.0	1.0	mon#9875	std_codex_g54
mondo	9882	10203	synonym_update	simple	v3	gpt-5.4	codex	573	0.167	0.167	0.167	0.091	mon#9882	std_codex_g54
mondo	9855	10115	new_term	medium	v3	gpt-5.4	codex	572	0.566	0.536	0.6	0.395	mon#9855	std_codex_g54
mondo	9938	10221	synonym_update	simple	v3	gpt-5.4	codex	571	0.111	0.5	0.062	0.059	mon#9938	std_codex_g54
mondo	9933	10210	synonym_update	simple	v3	gpt-5.4	codex	570	0.667	0.75	0.6	0.5	mon#9933	std_codex_g54
