ontology	issue_number	pr_number	case_type	difficulty	agent_config_tag	model	runtime	eval_repo_pr	f1	precision	recall	jaccard	case	agent
go-ontology	32005	32026	obsoletion	medium	v9	gemma-4-31b	opencode	525	0.017	0.19	0.009	0.008	go-#32005	std_opencode_gem4
go-ontology	31601	32007	synonym_update	simple	v9	gemma-4-31b	opencode	524	0.0	0.0	0.0	0.0	go-#31601	std_opencode_gem4
go-ontology	31969	31988	reclassification	hard	v9	claude-sonnet-4.5	copilot	504	0.919	0.879	0.962	0.85	go-#31969	std_copilot_son45
go-ontology	32046	32047	new_term	medium	v9	claude-sonnet-4.5	copilot	503	0.692	0.6	0.818	0.529	go-#32046	std_copilot_son45
go-ontology	31966	32003	obsoletion	medium	v9	claude-sonnet-4.5	copilot	502	0.889	0.889	0.889	0.8	go-#31966	std_copilot_son45
go-ontology	32044	32054	new_term	medium	v9	claude-sonnet-4.5	copilot	501	0.417	0.417	0.417	0.263	go-#32044	std_copilot_son45
go-ontology	32018	32021	obsoletion	simple	v9	claude-sonnet-4.5	copilot	499	0.0	0.0	0.0	0.0	go-#32018	std_copilot_son45
go-ontology	31961	32015	obsoletion	simple	v9	claude-sonnet-4.5	copilot	498	0.8	0.889	0.727	0.667	go-#31961	std_copilot_son45
go-ontology	31967	31968	reclassification	medium	v9	claude-sonnet-4.5	copilot	497	0.8	0.667	1.0	0.667	go-#31967	std_copilot_son45
go-ontology	31984	31987	axiom_repair	hard	v9	claude-sonnet-4.5	copilot	496	0.737	0.7	0.778	0.583	go-#31984	std_copilot_son45
go-ontology	31985	31986	reclassification	hard	v9	claude-sonnet-4.5	copilot	494	0.957	0.917	1.0	0.917	go-#31985	std_copilot_son45
go-ontology	31981	31995	axiom_repair	simple	v9	claude-sonnet-4.5	copilot	493	1.0	1.0	1.0	1.0	go-#31981	std_copilot_son45
go-ontology	32005	32026	obsoletion	medium	v9	claude-sonnet-4.5	claude	491	0.072	0.857	0.038	0.037	go-#32005	std_claude_son45
