ontology	issue_number	pr_number	case_type	difficulty	agent_config_tag	model	runtime	eval_repo_pr	f1	precision	recall	jaccard	case	agent
cell-ontology	2967	3309	axiom_repair	simple	v3	gpt-5.5	opencode	38	0.5	0.5	0.5	0.333	cel#2967	std_opencode_g55
cell-ontology	3239	3245	reclassification	medium	v3	gpt-5.5	opencode	37	0.333	0.273	0.429	0.2	cel#3239	std_opencode_g55
cell-ontology	3457	3467	new_term	medium	v3	gpt-5.5	codex	36	0.0	0.0	0.0	0.0	cel#3457	std_codex_g55
cell-ontology	3447	3448	other	medium	v3	gpt-5.5	codex	35	0.462	0.375	0.6	0.3	cel#3447	std_codex_g55
cell-ontology	3267	3268	documentation	simple	v3	gpt-5.5	codex	34	0.361	0.733	0.239	0.22	cel#3267	std_codex_g55
cell-ontology	3454	3555	axiom_repair	medium	v3	gpt-5.5	codex	33	0.667	0.75	0.6	0.5	cel#3454	std_codex_g55
cell-ontology	3408	3522	other	hard	v3	gpt-5.5	codex	32	0.559	0.494	0.644	0.388	cel#3408	std_codex_g55
cell-ontology	3519	3520	new_term	simple	v3	gpt-5.5	codex	31	0.0	0.0	0.0	0.0	cel#3519	std_codex_g55
cell-ontology	3460	3508	new_term	medium	v3	gpt-5.5	codex	30	0.0	0.0	0.0	0.0	cel#3460	std_codex_g55
cell-ontology	3458	3505	new_term	medium	v3	gpt-5.5	codex	29	0.0	0.0	0.0	0.0	cel#3458	std_codex_g55
cell-ontology	3243	3251	axiom_repair	medium	v3	gpt-5.5	codex	28	0.45	0.529	0.391	0.29	cel#3243	std_codex_g55
cell-ontology	3259	3450	new_term	medium	v3	gpt-5.5	codex	27	0.636	0.636	0.636	0.467	cel#3259	std_codex_g55
cell-ontology	3252	3253	new_term	medium	v3	gpt-5.5	codex	26	0.0	0.0	0.0	0.0	cel#3252	std_codex_g55
cell-ontology	3379	3444	reclassification	simple	v3	gpt-5.5	codex	24	0.667	1.0	0.5	0.5	cel#3379	std_codex_g55
cell-ontology	3353	3354	new_term	medium	v3	gpt-5.5	codex	23	0.0	0.0	0.0	0.0	cel#3353	std_codex_g55
cell-ontology	2967	3309	axiom_repair	simple	v3	gpt-5.5	codex	22	0.333	0.5	0.25	0.2	cel#2967	std_codex_g55
cell-ontology	3382	3440	axiom_repair	simple	v3	gpt-5.5	codex	21	0.667	1.0	0.5	0.5	cel#3382	std_codex_g55
cell-ontology	3332	3333	bulk_edit	medium	v3	gpt-5.5	codex	20	0.235	0.15	0.545	0.133	cel#3332	std_codex_g55
cell-ontology	3454	3555	axiom_repair	medium	v3	gpt-5.5	codex	19	0.667	0.75	0.6	0.5	cel#3454	std_codex_g55
cell-ontology	3454	3555	axiom_repair	medium	v3	gpt-5.5	opencode	18	0.6	0.75	0.5	0.429	cel#3454	std_opencode_g55
cell-ontology	3454	3555	axiom_repair	medium	v3	gpt-5.5	opencode	17	0.75	0.75	0.75	0.6	cel#3454	std_opencode_g55
cell-ontology	3454	3555	axiom_repair	medium	v3	gpt-5.5	codex	16	0.6	0.75	0.5	0.429	cel#3454	std_codex_g55
cell-ontology	3454	3555	axiom_repair	medium	v3	claude-sonnet-4.5	claude	15	0.75	0.75	0.75	0.6	cel#3454	std_claude_son45
cell-ontology	3252	3253	new_term	medium	v3	gpt-5.4	codex	14	0.0	0.0	0.0	0.0	cel#3252	std_codex_g54
cell-ontology	3196	3248	new_term	medium	v3	gpt-5.4	codex	13	0.231	0.214	0.25	0.13	cel#3196	std_codex_g54
cell-ontology	3252	3253	new_term	medium	v3	gpt-5.5	codex	10	0.0	0.0	0.0	0.0	cel#3252	std_codex_g55
cell-ontology	3454	3555	axiom_repair	medium	v3	claude-haiku-4.5	claude	7	0.75	0.75	0.75	0.6	cel#3454	std_claude_hai45
cell-ontology	3519	3520	new_term	simple	v3	gpt-5.4	codex	6	0.267	0.333	0.222	0.154	cel#3519	std_codex_g54
cell-ontology	3519	3520	new_term	simple	v3	claude-haiku-4.5	claude	5	0.0	0.0	0.0	0.0	cel#3519	std_claude_hai45
cell-ontology	3454	3555	axiom_repair	medium	v3	gpt-5.4	codex	4	0.667	0.75	0.6	0.5	cel#3454	std_codex_g54
cell-ontology	3519	3520	new_term	simple	v3	claude-sonnet-4.5	claude	3	0.615	0.667	0.571	0.444	cel#3519	std_claude_son45
cell-ontology	3224	3225	obsoletion	medium	v3	gpt-5.4	codex	2	0.0	0.0	0.0	0.0	cel#3224	std_codex_g54
cell-ontology	3224	3225	obsoletion	medium	v3	claude-sonnet-4.5	claude	1	0.0	0.0	0.0	0.0	cel#3224	std_claude_son45
